Code;City;Shop_nam;Address;Address;Phone ;Регион;Manager_code;
16347;БАРАНОВИЧИ;Relouis;УЛ.СОВЕТСКАЯ;65;+375 (29) 3920419;1;7206;
10121;БАРАНОВИЧИ;Relouis;ПРТ СОВЕТСКИЙ;21;+375 (29) 6934985;1;3793;
11073;Барановичи;Relouis; 1й Советский;11;+375 (29) 6938295;1;4655;
14220;Барановичи;Relouis; Парковая; 47а;+375 (163) 406050;1;5258;
12566;Барановичи;Relouis;Богдановича; 11а;+375 (163) 608972;1;5733;
14291;Барановичи;Relouis;Брестская; 270д;+375 (163) 400422;1;1995;
18114;Барановичи;Relouis;Советская;75;+375 (29) 6925359;1;4068;
16463;Барановичи;Relouis;Советский;5;+375 (163) 581510;1;8419;
12569;Барановичи;Relouis;Тельмана;165;+375 (29) 3920149;1;6898;
19197;Барановичи;Relouis; Франциска Скорины; 4б;+375 (44) 7696120;1;8619;
14678;Барановичи;Relouis;Фроленкова;42;+375 (44) 7681051;1;3854;
10207;Барань;Relouis;Оршанская; 26а;+375 (216) 548307;2;2151;
19542;Белоозерск;Relouis; Ленина; 48а;+375 (29) 1920221;1;4292;
17879;Белыничи;Relouis; Калинина;42;+375 (29) 6932529;1;6088;
17705;Берёза;Relouis; Ленина; 104/1;+375 (44) 7671079;1;8102;
13333;Березино;Relouis; Хонинова;149;+375 (29) 3920433;5;9200;
12402;Березовка;Relouis; Заводская;9;+375 (154) 564702;4;3607;
15907;Бешенковичи;Relouis; Урицкого; 28а;+375 (44) 7989771;2;6687;
14275;БОБРУЙСК;Relouis;УЛ.ДЗЕРЖИНСКОГО;50;+375 (44) 7969039;6;9994;
10780;БОБРУЙСК;Relouis; УЛ.ГОРЬКОГО;29;+375 (44) 7818302;6;3289;
13519;БОБРУЙСК;Relouis;УЛ. 50 ЛЕТ ВЛКСМ;  Д.33;+375 (44) 7696324;6;8294;
18876;БОБРУЙСК;Relouis;бр Приберезенский;40;+375 (29) 1920935;6;2368;
15125;БОБРУЙСК;Relouis;ул. 50 лет ВЛКСМ; 20а;+375 (44) 7661247;6;7253;
15051;БОБРУЙСК;Relouis;ул. М.Горького; 6Б;+375 (29) 6926076;6;2257;
15201;БОБРУЙСК;Relouis;ул. Минская;89;+375 (29) 6926076;6;5828;
13302;БОБРУЙСК;Relouis;ул. Парковая 68;+375 (29) 6027797;6;1956;
17719;БОБРУЙСК;Relouis;ул. Советская;91;+375 (29) 1920517;6;3831;
10528;БОБРУЙСК;Relouis; 50 лет ВЛКСМ;34;+375 (225) 724252;6;5994;
15750;БОБРУЙСК;Relouis; Горелика; 20а;+375 (44) 5353452;6;7786;
11517;Бобруйск;Relouis; Интернациональная;78;+375 (44) 7822709;6;2294;
19163;Бобруйск;Relouis; Максима Горького; 7а;+375 (29) 1062215;6;4388;
15318;Бобруйск;Relouis; Минская;135;+375 (29) 6938092;6;8443;
10859;Бобруйск;Relouis; Минская; 56/163;+375 (225) 447000;6;8406;
13464;Бобруйск;Relouis; Социалистическая;40;+375 (225) 720740;6;4977;
19243;Бобруйск;Relouis; Строителей; 24 б;+375 (225) 711255;6;7554;
13263;Бобруйск;Relouis; Ульяновская;60;+375 (225) 719500;6;3820;
17207;БОРИСОВ;Relouis;УЛ.ГАГАРИНА;105;+375 (29) 6920172;5;9977;
11045;БОРИСОВ;Relouis; УЛ. 3ГО ИНТЕРНАЦИОНАЛА;5;+375 (44) 7818332;5;9786;
19182;Борисов;Relouis; 50 лет БССР; 17а;+375 (177) 938393;5;9923;
14070;Борисов;Relouis; Гагарина;48;+375 (177) 749400;5;7276;
18545;Борисов;Relouis; Дзержинского;78;+375 (29) 6929225;5;1288;
12726;Борисов;Relouis; Строителей;26;+375 (177) 769617;5;5718;
15538;Борисов;Relouis; Чапаева; 3а;+375 (177) 945005;5;6528;
17575;Браслав;Relouis; Садовая;8;+375 (29) 1922052;2;5819;
17628;Брест;Relouis;Варшавское шоссе;3;+375 (29) 6926076;1;4010;
13611;Брест;Relouis;ул.Гаврилова;11;+375 (29) 6027798;1;5868;
14178;Брест;Relouis;ул.Ленинградская;16;+375 (29) 1920518;1;8767;
10243;БРЕСТ;Relouis; УЛ.МОСКОВСКАЯ;210;+375 (29) 6926039;1;9044;
17647;БРЕСТ;Relouis; УЛ. ГАВРИЛОВА;16;+375 (29) 6926065;1;1616;
13703;БРЕСТ;Relouis; УЛ. МОСКОВСКАЯ;326 (1 ЭТАЖ);+375 (44) 7989915;1;5035;
10543;Брест;Relouis;пр.Московский; 31  1й этаж. ;+375 (29) 6926076;1;2758;
19916;Брест;Relouis;ул. Советская;273В  1 этаж;+375 (29) 6027794;1;9328;
18362;Брест;Relouis; 28 июля; 33Б80;+375 (162) 538044;1;8359;
14243;Брест;Relouis; Варшавское шоссе;11;+375 (162) 501144;1;1915;
16474;Брест;Relouis; Волгоградская;1;+375 (44) 7858099;1;9653;
15528;Брест;Relouis; Дубровская;10;+375 (44) 7833129;1;2730;
17672;Брест;Relouis; Карбышева;21;+375 (162) 218785;1;1647;
17293;Брест;Relouis; Комсомольская;8;+375 (162) 532366;1;7133;
16878;Брест;Relouis; Космонавтов;33;+375 (44) 7858102;1;8562;
12440;Брест;Relouis; МОПРа;4;+375 (29) 8235476;1;4379;
15946;Брест;Relouis; Московская;332;+375 (162) 530998;1;2004;
17803;Брест;Relouis; Московская;368;+375 (162) 502028;1;4833;
15240;Брест;Relouis; Республиканская;10;+375 (162) 506341;1;2157;
19506;Брест;Relouis; Советская;126;+375 (162) 505094;1;9015;
17300;Брест;Relouis; ул. Куйбышева;12       ;+375 (29) 6926076;1;6918;
10656;БудаКошелево;Relouis; 50 лет Октября;2;+375 (44) 7858133;3;3022;
19359;Быхов;Relouis; Якубова; 31 ;+375 (44) 7989976;6;3193;
10019;Верхнедвинск;Relouis; Советская;159;+375 (29) 2969957;2;6351;
14515;Ветка;Relouis; Громыко А.А.; 45а;+375 (44) 7822745;3;4475;
11705;Вилейка;Relouis; Водопьянова;23;+375 (1771) 23922;5;2359;
13049;ВИТЕБСК;Relouis;УЛ.ЗАМКОВАЯ;19;+375 (44) 7858148;2;5800;
16552;ВИТЕБСК;Relouis;ШОССЕ БЕШЕНКОВИЧСКОЕ;31;+375 (44) 7373956;2;8429;
15226;ВИТЕБСК;Relouis;УЛ. ЧКАЛОВА;Д.35;+375 (44) 7949131;2;3310;
11323;ВИТЕБСК;Relouis;ул. В.Интернационалистов;23;+375 (44) 7889738;2;7178;
18694;ВИТЕБСК;Relouis;ул. Московский;  13/1;+375 (17) 3995357;2;1330;
16192;ВИТЕБСК;Relouis;ул. Садовая;10;+375 (29) 6577641;2;6816;
19315;ВИТЕБСК;Relouis;ул. Строителей;2;+375 (44) 7949145;2;7927;
16820;ВИТЕБСК;Relouis;ул. Фрунзе;45;+375 (29) 1920939;2;2781;
19878;ВИТЕБСК;Relouis;ул. Чкалова;56;+375 (44) 7661251;2;2700;
17984;ВИТЕБСК;Relouis;прт Московский;39;+375 (29) 6926076;2;7302;
14605;ВИТЕБСК;Relouis;ул. Ленина;  26/а;+375 (29) 6926076;2;7396;
19192;ВИТЕБСК;Relouis;ул. Чкалова;  25.;+375 (17) 3995351;2;1686;
14229;ВИТЕБСК;Relouis;ул. 39й армии;27;+375 (29) 6577635;2;3510;
10633;ВИТЕБСК;Relouis;ул. Чкалова; 11/1;+375 (44) 7949139;2;3117;
19218;ВИТЕБСК;Relouis;ул. Космонавтов;11;+375 (29) 1920933;2;5431;
16087;ВИТЕБСК;Relouis;прт Московский;103;+375 (44) 7661245;2;8382;
11745;ВИТЕБСК;Relouis;ул. Ленина;1;+375 (29) 6926076;2;5898;
13849;ВИТЕБСК;Relouis;ул. Космонавтов;11;+375 (29) 6926076;2;6843;
19217;ВИТЕБСК;Relouis;;+375 (29) 6027795;2;3453;
10554;Витебск;Relouis;ул. Строителей;  34 ;+375 (29) 1920514;2;9719;
17889;Витебск;Relouis; 39й армии;1224;+375 (44) 5981521;2;9248;
19056;Витебск;Relouis; Космонавтов;11;+375 (29) 6938247;2;2110;
16331;Витебск;Relouis; Ленина; 26а;+375 (29) 6923429;2;5975;
10665;Витебск;Relouis; Московский; 19/1;+375 (29) 6938244;2;8092;
14080;Витебск;Relouis; Победы;15;+375 (212) 657740;2;7504;
13006;Витебск;Relouis; Смоленская;6;+375 (212) 485579;2;8285;
10181;Витебск;Relouis; Титова;12;+375 (212) 651115;2;3685;
12950;Витебск;Relouis; Фрунзе;5521;+375 (29) 3920686;2;8219;
10578;Витебск;Relouis; Фрунзе;81;+375 (212) 562266;2;9516;
11412;Витебск;Relouis; Черняховского;1;+375 (212) 270247;2;2571;
10514;Витебск;Relouis; Чкалова;36;+375 (44) 5981521;2;5588;
16026;Витебск;Relouis; Чкалова; 52/1;+375 (44) 7661697;2;5165;
16322;Витебск;Relouis;ул. Ленина;  12     ;+375 (17) 3995352;2;5191;
10093;Витебск;Relouis;пр. Фрунзе;58 ;+375 (17) 3995350;2;8998;
19171;Витебск ;Relouis;ул. Кирова             ;48;+375 (44) 7889733;2;1412;
18100;Волковыск;Relouis; Горбатова; 2а;+375 (29) 9446737;4;3008;
15788;Волковыск;Relouis; Ленина;2;+375 (1512) 45799;4;6076;
18952;Волковыск;Relouis; Софьи Панковой; 47б;+375 (44) 7373945;4;7026;
15627;Вороново;Relouis; Советская;35;+375 (29) 5695887;4;4008;
18379;Высокое;Relouis; Ленина;11;1;5797;
13650;Ганцевичи;Relouis; Маяковского; 28а;+375 (29) 9591725;1;3804;
17519;Глубокое;Relouis; Дзержинского;8;+375 (29) 6932019;2;5315;
15739;Гомель;Relouis; 60 лет СССР;14;+375 (29) 3949952;3;3925;
15983;Гомель;Relouis; Б.Царикова;78;+375 (232) 234027;3;6414;
16266;Гомель;Relouis; Бородина Т.С.;257;+375 (29) 5695870;3;8052;
12778;Гомель;Relouis; Быховская;107;+375 (44) 7656140;3;6392;
17330;Гомель;Relouis; Ефремова;11;+375 (29) 1954897;3;3436;
15393;Гомель;Relouis; Ильича; 59а;+375 (29) 1923803;3;7456;
18342;Гомель;Relouis; Карповича;18;+375 (232) 710162;3;8916;
11163;Гомель;Relouis; Катунина;4;+375 (232) 701797;3;8819;
15908;Гомель;Relouis; Кирова; 141А;+375 (29) 6058849;3;5720;
16896;Гомель;Relouis; Ленина;63;+375 (44) 5989042;3;3891;
18967;Гомель;Relouis; Павлова;26;+375 (44) 7999350;3;3068;
19973;Гомель;Relouis; Победы;14;+375 (29) 5569955;3;1769;
11704;Гомель;Relouis; Речицкий; 5в;+375 (29) 6938409;3;6853;
15947;Гомель;Relouis; Речицкий;80;+375 (44) 7004599;3;5732;
10963;Гомель;Relouis; Рогачевская; 2а ;+375 (44) 7889701;3;9299;
14762;Гомель;Relouis; Свиридова;13;+375 (29) 5675961;3;3729;
10864;Гомель;Relouis; Советская; 97 к.1;+375 (29) 6938277;3;3739;
17467;Гомель;Relouis; Сухого; 1а;+375 (44) 7989663;3;7348;
12771;Гомель;Relouis; Хатаевича; 61 б;+375 (29) 1923487;3;3898;
17066;Гомель;Relouis; ул. Ефремова;115;+375 (29) 6926076;3;3593;
13824;Гомель;Relouis; прт Победы;15;+375 (29) 6027795;3;9647;
12452;Гомель;Relouis;ул. Быховская;17    ;+375 (44) 7661245;3;3773;
17251;Гомель;Relouis;ул. Свиридова;11;+375 (29) 6926076;3;5089;
17239;ГОМЕЛЬ;Relouis;УЛ.СОВЕТСКАЯ;10;+375 (29) 6938272;3;9681;
15560;ГОМЕЛЬ;Relouis; УЛ.ПОБЕДЫ;15;+375 (44) 7696137;3;3352;
18964;ГОМЕЛЬ;Relouis;УЛ.СОВЕТСКАЯ;6;+375 (29) 6935559;3;7089;
11666;ГОМЕЛЬ;Relouis;УЛ.СОВЕТСКАЯ;60;+375 (29) 6250393;3;9908;
15706;ГОМЕЛЬ;Relouis;УЛ. КОСАРЕВА;18;+375 (29) 6931349;3;1691;
18996;ГОМЕЛЬ;Relouis;Мкрн энергетиков; д.8 (Урицкое );+375 (29) 1920515;3;1907;
12433;ГОМЕЛЬ;Relouis;прт Ленина;29;+375 (44) 7889733;3;3370;
11641;ГОМЕЛЬ;Relouis;прт Октября;22;+375 (17) 3995352;3;4587;
14387;ГОМЕЛЬ;Relouis;прт Октября; 87а;+375 (29) 6577636;3;9828;
13420;ГОМЕЛЬ;Relouis;прт Победы;20;+375 (44) 7949140;3;5697;
12715;ГОМЕЛЬ;Relouis;прт Речицкий;4;+375 (29) 1920934;3;7247;
14343;ГОМЕЛЬ;Relouis;прт Речицкий;75;+375 (44) 7661246;3;5947;
18462;ГОМЕЛЬ;Relouis;ул. Б.Хмельницкого;96;+375 (29) 6926076;3;3230;
10474;ГОМЕЛЬ;Relouis;ул. Ильича;261;+375 (29) 6926076;3;6891;
18521;ГОМЕЛЬ;Relouis;ул. Ильича; 297а;+375 (29) 6027796;3;7912;
15943;ГОМЕЛЬ;Relouis;ул. Каменщикова; 3 (рынок «Прудковский»);+375 (29) 1920516;3;1271;
18728;ГОМЕЛЬ;Relouis;ул. Ломоносова; 16 (г.п.Костюковка);+375 (44) 7889734;3;7757;
15387;ГОМЕЛЬ;Relouis;ул. Мазурова;44;+375 (17) 3995353;3;3025;
19791;ГОМЕЛЬ;Relouis;ул. Советская;130;+375 (29) 6577637;3;5099;
16280;ГОМЕЛЬ;Relouis;ул. Советская; 40а;+375 (44) 7949141;3;1532;
17896;ГОМЕЛЬ;Relouis;прт Речицкий;117;+375 (44) 7661249;3;6894;
18248;ГОМЕЛЬ;Relouis;ул. Гагарина;5;+375 (29) 6926076;3;4548;
16662;ГОМЕЛЬ;Relouis; ул. Интернациональная;18         ;+375 (29) 1920515;3;9132;
13185;Горки;Relouis; Сурганова;3;+375 (44) 5988904;6;8847;
15268;Горки;Relouis; Якубовского; 6 ;+375 (29) 3920612;6;5540;
11402;Городок;Relouis; Ленинская;16;+375 (29) 5109806;2;6691;
15596;Гродно;Relouis; Антонова;29;+375 (152) 606919;4;5963;
11509;Гродно;Relouis; Болдина; 4б101;+375 (44) 7822361;4;3677;
14350;Гродно;Relouis; Великая Ольшанка; 7а;+375 (44) 7373795;4;3495;
13785;Гродно;Relouis; Горького;53;+375 (29) 6938280;4;4755;
10582;Гродно;Relouis; Горького;88;+375 (44) 7833045;4;4342;
12722;Гродно;Relouis; Дзержинского; 54а7;+375 (44) 7822363;4;5129;
19086;Гродно;Relouis; Кабяка;8;+375 (29) 6926045;4;9754;
17894;Гродно;Relouis; Лиможа; 32б;+375 (29) 1922391;4;3433;
13097;Гродно;Relouis; Ольги Соломовой;82;+375 (29) 6931455;4;3447;
11183;Гродно;Relouis; Советская;29;+375 (29) 6925782;4;4835;
19480;Гродно;Relouis; Янки Купалы; 78а;+375 (44) 7822352;4;9232;
12093;Гродно;Relouis; прт Клецкова;15В. ;+375 (44) 7889732;4;8022;
14835;Гродно;Relouis; ул. Лиможа; 3Б;+375 (17) 3995351;4;8670;
16972;Гродно;Relouis;ул. Фомичева;8Б  ;+375 (44) 7949139;4;1313;
18097;ГРОДНО;Relouis;УЛ.СОВЕТСКАЯ;18;+375 (44) 7822731;4;2554;
15850;ГРОДНО;Relouis;УЛ.ДЗЕРЖИНСКОГО;92;+375 (44) 7868210;4;8428;
14217;ГРОДНО;Relouis;ПРТ ЯНКИ КУПАЛЫ;  16А;+375 (44) 5981341;4;2278;
11773;Гродно ;Relouis; ул. Дубко;2;+375 (29) 1920933;4;2422;
12115;Гродно               ;Relouis; ул. Кабяка;45/4;+375 (29) 6577635;4;7859;
10692;Боровляны;Relouis; Березовая Роща;108;+375 (175) 125521;5;1466;
12151;Дзержинск;Relouis; 11 июля; 3А/1;+375 (29) 6924002;5;7623;
10619;Дзержинск;Relouis; Тихая;2;+375 (29) 6924002;5;7149;
14641;Дрогичин;Relouis; Юбилейная; 42А;+375 (44) 7818330;1;2045;
10005;Дятлово;Relouis; 17 Сентября;7;+375 (29) 6931326;4;8862;
19894;Жабинка;Relouis; Кирова;77;+375 (29) 2821596;1;1345;
12866;Житковичи;Relouis; Фрунзе; 67 ;+375 (44) 7818296;3;3170;
13496;Житковичи;Relouis;ул. Школьная; 3   «Рио»;+375 (17) 3995354;3;9274;
17531;Жлобин;Relouis; Карла Маркса; 2г;+375 (29) 6142427;3;2950;
19594;Жлобин;Relouis; Войкова; 8/3;+375 (29) 1944924;3;1480;
18029;Жлобин;Relouis; Первомайская; 59/1;+375 (29) 1922495;3;2501;
11552;Жлобин;Relouis; Шоссейная; 109а;+375 (29) 1938571;3;6873;
13484;ЖЛОБИН;Relouis;МКР 20;+375 (44) 7889689;3;8077;
15940;Жодино;Relouis; Калиновского;13;+375 (29) 1956126;3;1560;
14617;Жодино;Relouis; Ленина;22;+375 (1775) 34463;3;8023;
10319;Жодино;Relouis; Рокоссовского; 9/1;+375 (29) 1956126;3;5367;
19237;Зельва;Relouis; Советская;23;+375 (25) 5221776;4;2288;
16024;Иваново;Relouis; Комарова; 15б;+375 (29) 1923713;1;5098;
14594;Ивацевичи;Relouis; Почтовый;6;+375 (44) 7671079;1;1770;
10482;Ивье;Relouis; Комсомольская;14;+375 (44) 7703873;4;9716;
12698;Калинковичи;Relouis; Советская;124;+375 (29) 3949951;3;8121;
15156;Калинковичи;Relouis; Советская;191;+375 (44) 7989642;3;4517;
11126;Калинковичи;Relouis; Фрунзе; 7/2;+375 (29) 6920187;3;9397;
13602;Каменец;Relouis; Брестская; 71/2;+375 (1631) 96545;1;8314;
10901;Климовичи;Relouis; Комсомольская; 9а;+375 (29) 6938420;6;3582;
15059;Кобрин;Relouis; Дзержинского; 68а;+375 (1642) 23626;1;6919;
10183;Кобрин;Relouis; Ленина;13;+375 (1642) 22589;1;4147;
16351;Копыль;Relouis; Партизанская; 1А;+375 (44) 7696309;5;3750;
11518;Кореличи;Relouis; 17го Сентября;8;+375 (29) 9847689;4;8782;
12555;Костюковичи;Relouis; БончБруевича;9;+375 (44) 7868197;3;3385;
15037;Кричев;Relouis; Комсомольский;21;+375 (29) 6936319;6;1707;
13429;Круглое;Relouis; Могилевская;2;+375 (44) 5790608;6;4710;
12591;Лида;Relouis; Советская;13;+375 (29) 9847689;4;6332;
11821;Лида;Relouis; Кирова;8;+375 (44) 7868197;4;9256;
17387;Лида;Relouis; Машерова;12;+375 (44) 5790608;4;4169;
13837;Лида;Relouis; Комсомольская;11;+375 (29) 3802816;4;8992;
18188;Лида;Relouis; Красноармейская;108;+375 (29) 6936319;4;1989;
16208;Лида;Relouis; Победы;32;+375 (29) 1922017;4;2665;
12321;Лиозно;Relouis; Комсомольская;48;+375 (44) 7868197;2;9433;
11427;Логойск;Relouis; Минская; 9а;+375 (29) 3802816;5;4522;
15433;Лунинец;Relouis; Блока;2;+375 (29) 6936319;1;5345;
10124;Любань;Relouis; Социалистическая; 27б;+375 (44) 5790608;5;2524;
13401;Ляховичи;Relouis; 17 Сентября;17;+375 (29) 1922017;1;2753;
15889;Малорита;Relouis; Советская;913;+375 (176) 759694 ;1;5560;
15708;Минск;Relouis;8;+375 (29) 6926076;7;4864;
14730;Минск;Relouis;ул.Денисовская;+375 (44) 7661248;7;9001;
18931;Минск;Relouis;ул. ДунинаМарцинкевича; 21   ;+375 (29) 6027794;7;8891;
16513;МИНСК;Relouis; ПР.НЕЗАВИСИМОСТИ;21;+375 (25) 7019881 ;7;4765;
11146;МИНСК;Relouis;УЛ.ЖИЛУНОВИЧА;4;+375 (29) 6938297;7;8786;
11768;МИНСК;Relouis; ПР.НЕЗАВИСИМОСТИ;54;+375 (44) 5989578;7;9540;
15879;МИНСК;Relouis;ПР. ДЗЕРЖИНСКОГО;100;+375 (29) 6931349;7;8783;
18877;МИНСК;Relouis;УЛ. В.ХОРУЖЕЙ;21;+375 (44) 7868210;7;9392;
17631;МИНСК;Relouis;ПЕРЕСЕЧЕНИЕ ЛОГОЙСКОГО ТРТА И МКАД;+375 (44) 7839128;7;5951;
16704;МИНСК;Relouis;УЛ.НАЛИБОКСКАЯ;1;+375 (44) 7696722;7;3615;
17007;МИНСК;Relouis;УЛ. ГОРЕЦКОГО;2;+375 (17) 2074595;7;7691;
19130;МИНСК;Relouis;ИГУМЕНСКИЙ ТРАКТ;Д.30;+375 (29) 6932159;7;6676;
10497;МИНСК;Relouis; ПРТ ПАРТИЗАНСКИЙ;150;+375 (44) 7661984;7;5060;
18230;МИНСК;Relouis;ПРТ РОКОССОВСКОГО;2;+375 (29) 2527927;7;7837;
18554;МИНСК;Relouis; УЛ. ПЕТРА МСТИСЛАВЦА;Д.11;375 (17) 2572668;7;2348;
16502;МИНСК;Relouis;УЛ. П.ГЛЕБКИ; Д. 5;+375 (29) 6577633;7;9527;
16034;МИНСК;Relouis; УЛ. ПРИТЫЦКОГО;Д. 156;+375 (17) 3343898;7;7906;
18233;МИНСК;Relouis;УЛ. КАЛЬВАРИЙСКАЯ;24;+375 (17) 3347466;7;4093;
16036;МИНСК;Relouis; УЛ.КОРЖЕНЕВСКОГО;26;+375 (29) 2859596;7;7593;
17262;МИНСК;Relouis; ПРТ ПОБЕДИТЕЛЕЙ;65;+375 (29) 6921758;7;9663;
16305;МИНСК;Relouis;ПРТ НЕЗАВИСИМОСТИ;154;+375 (17) 2668645;7;2837;
12919;МИНСК;Relouis;ул. Матусевича;  77.;+375 (17) 2342991;7;2102;
15368;МИНСК;Relouis;прт Независимости;  172/а;+375 (17) 2649202;7;9221;
12581;МИНСК;Relouis;ул. Сердича;48;+375 (17) 3001963;7;6116;
14452;МИНСК;Relouis;ул. Рокоссовского;145;375 (17) 3144201;7;8032;
13294;МИНСК;Relouis;ул. Раковская;34/а;+375 (29) 6250393;7;4332;
11473;МИНСК;Relouis;ул. Рафиева; 88/а;+375 (44) 7969042;7;3062;
11926;МИНСК;Relouis;ул. Партизанский;31;+375 (44) 7997021;7;1773;
19156;МИНСК;Relouis;ул. Народная;26;+375 (29) 6920206;7;8940;
15058;МИНСК;Relouis;ул. Маяковского;20;+375 (29) 3920688;7;4902;
11098;МИНСК;Relouis;ул. Голодеда;31;+375 (29) 6931356;7;6540;
18657;МИНСК;Relouis;ул. Воронянского;1;+375 (29) 1920347;7;7605;
15649;МИНСК;Relouis;ул. Куйбышева;48;+375 (44) 7949114;7;1511;
11057;МИНСК;Relouis;ул. Сухаревская;62;+375 (17) 2009767 ;7;2406;
16568;МИНСК;Relouis;ул. Партизанский;147;+375 (29) 6938419;7;7836;
19990;МИНСК;Relouis;ул. Кальварийская;52; (29) 6630650;7;7325;
11022;МИНСК;Relouis;ул. Плеханова;  72.;+375 (44) 7989599;7;5387;
15246;МИНСК;Relouis;ул. Кижеватова;  80/1;+375 (29) 1103788;7;6769;
11890;МИНСК;Relouis;ул. Победителей;  89.;+375 (29) 1920227;7;5890;
12476;МИНСК;Relouis;ул. Свердлова;  22.;+375 (44) 5353843;7;2106;
18639;МИНСК;Relouis;ул. Уручская; 5/а.;+375 (29) 3920648;7;5982;
10219;МИНСК;Relouis;ул. Притыцкого;91;+375 (44) 5353871;7;8176;
15842;МИНСК;Relouis;ул. Есенина;76;+375 (29) 8241650;7;5616;
19688;МИНСК;Relouis;ул. Руссиянова;9;+375 (44) 7969119;7;4067;
11298;МИНСК;Relouis;ул. Кижеватова;72/1;+375 (29) 6768885;7;3757;
13301;МИНСК;Relouis;ул. Богдановича;66;+375 (44) 7893931;7;1226;
11806;МИНСК;Relouis;ул. В.Хоружей; 6б;+375 (29) 3486151;7;8013;
14525;МИНСК;Relouis;прт. Звезды;16;+375 (44) 7822736;7;8532;
19876;МИНСК;Relouis;ул. Я.Чачота;11;+375 (44) 7833128;7;6061;
13670;МИНСК;Relouis;ул. Грицевца;1;+375 (29) 6932159;7;8101;
12215;МИНСК;Relouis;ул. Одинцова;  36/1.;+375 (17) 3130759;7;2572;
18832;МИНСК;Relouis;ул. Я.Мавра;44;+375 (29) 3920468;7;5874;
11723;МИНСК;Relouis;Игуменский тракт;20;+375 (29) 6926120;7;7925;
17264;МИНСК;Relouis;ул. Сердича;7;+375 (29) 6920447;7;3211;
18438;МИНСК;Relouis;ул. Налибокская;36;+375 (29) 6938249;7;3877;
19586;МИНСК;Relouis;ул. Голубева;146;+375 (44) 7696324;7;6823;
14270;МИНСК;Relouis;ул. Жиновича;20;+375 (29) 1944908;7;1358;
16590;МИНСК;Relouis;ул. Жиновича;1;+375 (44) 7696138;7;8099;
15912;МИНСК;Relouis;прт Партизанский;69;+375 (44) 7969062;7;9838;
11138;МИНСК;Relouis;ул. Кунцевщина;35;+375 (44) 7969062;7;4111;
17760;МИНСК;Relouis;Бобруйская;6;+375 (44) 7003057;7;9493;
11650;МИНСК;Relouis;ул. Жуковского;7;+375 (29) 6920206;7;5117;
12182;МИНСК;Relouis;ул. Якубова;  10.;+375 (29) 6930214;7;2083;
16921;МИНСК;Relouis;ул. Бурдейного; 13;+375 (17) 2093389 ;7;5399;
16067;МИНСК;Relouis;ул. Корженевского;  10/3;+375 (29) 6930214;7;9247;
15696;МИНСК;Relouis;ул. 6р Шевченко;2;+375 (29) 6926116;7;7140;
18831;МИНСК;Relouis;ул. Лобанка;26;+375 (29) 6508297;7;5622;
15774;МИНСК;Relouis;Логойский тракт; 1а1;+375 (44) 7656173;7;6990;
18397;МИНСК;Relouis;ул. Связистов;11;+375 (44) 7989915;7;4450;
16402;МИНСК;Relouis;ул. Кальварийская;4;+375 (29) 6931077;7;4769;
19154;МИНСК;Relouis;ул. Рокоссовского;396;+375 (29) 6931077;7;5025;
